arr_flights;arr_del15
88.00;14.00
152.00;50.00
89.00;13.00
65.00;10.00
79.00;12.00
278.00;70.00
53.00;6.00
91.00;22.00
77.00;12.00
271.00;72.00
23.00;6.00
8.00;0.00
709.00;153.00
60.00;22.00
141.00;55.00
8.00;3.00
210.00;45.00
271.00;60.00
30.00;1.00
111.00;36.00
102.00;9.00
55.00;3.00
44.00;5.00
526.00;97.00
62.00;18.00
5.00;0.00
2.00;0.00
380.00;79.00
132.00;15.00
105.00;24.00
192.00;37.00
31.00;1.00
9.00;1.00
40.00;11.00
65.00;37.00
807.00;254.00
127.00;33.00
86.00;33.00
76.00;32.00
17.00;6.00
9.00;1.00
33.00;11.00
12.00;3.00
80.00;4.00
2.00;0.00
62.00;3.00
60.00;4.00
33.00;7.00
30.00;2.00
81.00;12.00
50.00;8.00
1.00;0.00
64.00;14.00
5.00;0.00
165.00;10.00
32.00;9.00
5.00;1.00
93.00;23.00
62.00;12.00
311.00;66.00
477.00;118.00
104.00;24.00
41.00;14.00
70.00;17.00
5.00;1.00
138.00;38.00
372.00;74.00
177.00;62.00
84.00;14.00
24.00;3.00
251.00;60.00
167.00;55.00
28.00;0.00
28.00;3.00
811.00;142.00
82.00;9.00
122.00;14.00
56.00;4.00
180.00;25.00
28.00;4.00
65.00;10.00
91.00;28.00
84.00;10.00
144.00;33.00
121.00;26.00
36.00;5.00
48.00;10.00
202.00;56.00
48.00;10.00
356.00;50.00
26.00;5.00
1130.00;149.00
48.00;4.00
28.00;3.00
1920.00;272.00
933.00;190.00
168.00;30.00
136.00;21.00
310.00;64.00
190.00;28.00
12.00;2.00
136.00;13.00
4.00;1.00
107.00;21.00
242.00;47.00
80.00;9.00
51.00;11.00
671.00;159.00
138.00;21.00
31.00;8.00
57.00;4.00
378.00;61.00
97.00;17.00
31.00;7.00
51.00;5.00
