124.2, 116.1;
103.7, 101.3;
85.9, 85.0;
79.85, 77.6;
65.4, 62.9;
59.9, 58.6;
56.0, 54.75;
46.2, 45.65;
47.75, 45.5;
58.7, 56.5;
47.75, 46.5;
57.25, 54.25;
63.9, 60.75;
59.25, 58.1;
61.5, 59.0;
65.9, 63.4;
70.5, 68.0;
74.4, 73.25;
73.2, 72.2;
81.3, 79.35;
105.1, 102.5;
128.8, 122.6;
106.5, 102.5;
94.4, 92.1;
108.8, 106.2;
110.7, 106.5;
103.0, 100.1;
107.9, 103.25;
125.9, 122.4;
111.5, 108.3;
111.2, 109.1;
136.4, 130.0;
136.95, 133.0;
130.25, 126.2;
153.3, 150.85;
131.9, 128.45;
112.05, 109.1;
116.05, 114.15;
118.4, 116.5;
129.75, 125.9;
142.45, 136.0;
137.95, 136.3;
166.1, 163.7;
186.2, 180.5;
240.5, 232.0;
266.25, 258.8;
264.4, 261.1;
228.6, 219.8;
228.0, 222.4;
186.9, 180.3;
179.75, 174.8;
178.95, 172.15;
151.95, 145.45;
141.35, 135.5;
121.85, 119.8;
114.7, 113.2;
112.3, 110.2;
178.95, 174.25;
172.25, 168.2;
201.85, 193.7;
167.25, 160.2;
139.8, 133.05;
130.15, 126.05;
122.45, 119.1;
126.3, 122.05;
127.9, 124.4;
145.5, 143.45;
151.7, 147.15;
139.05, 134.4;
142.8, 137.5;
128.65, 126.25;
127.8, 125.4;
131.35, 126.2;
119.1, 116.15;
109.1, 107.65;
103.45, 101.4;
102.65, 99.35;
94.8, 91.65;
112.55, 109.6;
101.6, 99.65;
130.95, 126.5;
120.1, 116.6;
102.8, 102.05;
111.6, 106.4;
129.4, 125.25;
125.45, 120.75;
162.1, 154.0;
205.55, 192.95;
226.95, 220.55;
