Численность мужчин,Численность женщин
978312,924306
966625,915922
970566,917727
917863,868828
853102,809866
863463,820290
857518,818433
813679,772989
749112,713837
750085,719139
755253,720495
748448,712570
723064,688668
678063,645391
695233,659500
655347,623163
683040,651089
663024,633067
700673,667056
742078,709940
781609,740493
793958,758535
914698,881232
1020020,975986
1163598,1127972
1193708,1155172
1242958,1210745
1302735,1265138
1286842,1261487
1258254,1255017
1228945,1219410
1252750,1245468
1172164,1175050
1114281,1121621
1182117,1196106
1082828,1104835
1066460,1105328
1026842,1076185
1033174,1086397
1035658,1101834
995980,1056631
965729,1026951
966995,1031590
934254,991874
972290,1028176
863960,931599
849414,921577
829053,910541
849965,946795
892921,1003079
901363,1029062
962407,1105474
987525,1155471
1028900,1213086
1100148,1304369
1001552,1228833
982023,1229446
944453,1198493
892002,1164946
878552,1178109
852172,1173482
755880,1059852
746720,1071195
704000,1029035
689749,1016786
672650,1030393
541564,845857
515193,821262
442140,734024
264549,447156
190082,333510
168071,305713
231996,458623
342676,708253
357487,751953
362132,807743
339548,789619
330453,763019
246490,592371
200577,496221
144100,365276
125610,335378
135405,379352
122222,347099
120177,356954
100786,315216
87753,293598
67333,233256
48731,192420
31074,146563
